pitcher,player_name,official_ip,ip_decimal,pitches,stressful_pitches,ps_pct,aps,aps_plus,total_stress,ss_per_9,season,aps_reference_mean,aps_reference_std,aps_reference_count
502273,"Freeman, Mike",0.1,0.3333333333333333,4,0,0.0,13.3,259,53.02921474807215,1431.8,2021,26.914036537019726,1.2853838829824347,486
665155,"Maton, Nick",0.1,0.3333333333333333,4,0,0.0,13.3,259,53.02921474807215,1431.8,2021,26.914036537019726,1.2853838829824347,486
592859,"Wilkerson, Stevie",1.0,1.0,12,0,0.0,18.7,196,224.25938538318937,2018.3,2021,26.914036537019726,1.2853838829824347,486
663853,"Gonzalez, Romy",0.1,0.3333333333333333,4,0,0.0,19.0,192,76.04360120990377,2053.2,2021,26.914036537019726,1.2853838829824347,486
595284,"Knapp, Andrew",0.1,0.3333333333333333,4,0,0.0,20.2,178,80.97071230271159,2186.2,2021,26.914036537019726,1.2853838829824347,486
642851,"Wynns, Austin",1.0,1.0,9,0,0.0,20.3,177,182.47946018552457,1642.3,2021,26.914036537019726,1.2853838829824347,486
668665,"Nogosek, Stephen",3.0,3.0,48,0,0.0,20.6,173,990.926568365635,2972.8,2021,26.914036537019726,1.2853838829824347,486
519048,"Moreland, Mitch",1.0,1.0,17,0,0.0,20.7,172,352.6611513573612,3174.0,2021,26.914036537019726,1.2853838829824347,486
656641,"Latz, Jacob",4.2,4.666666666666667,84,0,0.0,20.9,170,1759.197231825465,3392.7,2021,26.914036537019726,1.2853838829824347,486
658069,"Fuentes, Joshua",1.0,1.0,9,0,0.0,21.2,167,190.61295304065206,1715.5,2021,26.914036537019726,1.2853838829824347,486
642727,"Alcántara, Sergio",0.1,0.3333333333333333,4,0,0.0,21.2,167,84.68360120990376,2286.5,2021,26.914036537019726,1.2853838829824347,486
656186,"Altavilla, Dan",1.1,1.3333333333333333,22,0,0.0,21.2,167,466.00920945467254,3145.6,2021,26.914036537019726,1.2853838829824347,486
621500,"Mathisen, Wyatt",1.0,1.0,10,0,0.0,21.4,165,213.86665535638295,1924.8,2021,26.914036537019726,1.2853838829824347,486
669276,"Lee, Dylan",2.0,2.0,29,0,0.0,21.5,164,622.6958913894053,2802.1,2021,26.914036537019726,1.2853838829824347,486
503556,"Gonzalez, Marwin",1.0,1.0,11,0,0.0,21.5,163,237.04414357477677,2133.4,2021,26.914036537019726,1.2853838829824347,486
622786,"Tinoco, Jesus",1.1,1.3333333333333333,32,0,0.0,21.7,161,694.3938366436163,4687.2,2021,26.914036537019726,1.2853838829824347,486
660825,"Bazardo, Eduard",3.0,3.0,52,0,0.0,21.8,160,1132.237865804365,3396.7,2021,26.914036537019726,1.2853838829824347,486
622554,"Domínguez, Seranthony",1.0,1.0,14,0,0.0,22.0,158,307.5916249226897,2768.3,2021,26.914036537019726,1.2853838829824347,486
491703,"Feliz, Neftalí",4.0,4.0,67,1,1.5,22.0,157,1476.866545014756,3322.9,2021,26.914036537019726,1.2853838829824347,486
606162,"Ramírez, Yefry",2.0,2.0,23,0,0.0,22.2,155,510.60898628286463,2297.7,2021,26.914036537019726,1.2853838829824347,486
597113,"Johnson, DJ",4.1,4.333333333333333,72,0,0.0,22.3,154,1602.8924273019331,3329.1,2021,26.914036537019726,1.2853838829824347,486
669358,"Baz, Shane",13.1,13.333333333333334,198,2,1.0,22.5,152,4454.2832114302455,3006.6,2021,26.914036537019726,1.2853838829824347,486
