pitcher,player_name,official_ip,ip_decimal,pitches,stressful_pitches,ps_pct,aps,aps_plus,total_stress,ss_per_9,season,aps_reference_mean,aps_reference_std,aps_reference_count
620443,"Torrens, Luis",0.1,0.3333333333333333,3,0,0.0,17.2,220,51.611993273721886,1393.5,2024,26.644943333993194,1.1826517211902399,474
666197,"Kessinger, Grae",1.0,1.0,11,0,0.0,19.3,193,212.38512987318154,1911.5,2024,26.644943333993194,1.1826517211902399,474
665019,"Clemens, Kody",1.0,1.0,16,0,0.0,19.9,185,318.9671063137893,2870.7,2024,26.644943333993194,1.1826517211902399,474
595928,"Curtiss, John",2.1,2.3333333333333335,38,0,0.0,20.3,181,769.6378406547374,2968.6,2024,26.644943333993194,1.1826517211902399,474
690925,"Beeter, Clayton",3.2,3.6666666666666665,51,0,0.0,21.2,170,1079.4023081131563,2649.4,2024,26.644943333993194,1.1826517211902399,474
686790,"McDonald, Trevor",3.0,3.0,39,0,0.0,21.2,170,825.294456722638,2475.9,2024,26.644943333993194,1.1826517211902399,474
623437,"Topa, Justin",2.1,2.3333333333333335,20,0,0.0,21.5,165,430.52770759833595,1660.6,2024,26.644943333993194,1.1826517211902399,474
656716,"McKinstry, Zach",2.0,2.0,24,0,0.0,21.6,164,518.432226861933,2332.9,2024,26.644943333993194,1.1826517211902399,474
683021,"Stefanic, Michael",1.0,1.0,15,0,0.0,21.6,164,324.2020439166891,2917.8,2024,26.644943333993194,1.1826517211902399,474
660813,"Graterol, Brusdar",7.1,7.333333333333333,101,0,0.0,22.0,159,2220.83609711464,2725.6,2024,26.644943333993194,1.1826517211902399,474
543510,"McCann, James",1.0,1.0,10,0,0.0,22.1,158,220.53332394288938,1984.8,2024,26.644943333993194,1.1826517211902399,474
571466,"Barnhart, Tucker",1.0,1.0,11,0,0.0,22.2,157,243.83306382260292,2194.5,2024,26.644943333993194,1.1826517211902399,474
643361,"Herget, Kevin",11.1,11.333333333333334,151,6,4.0,22.2,156,3351.5604778269603,2661.5,2024,26.644943333993194,1.1826517211902399,474
668472,"Pratto, Nick",1.0,1.0,15,0,0.0,22.3,155,334.7656856334938,3012.9,2024,26.644943333993194,1.1826517211902399,474
642239,"Zastryzny, Rob",7.2,7.666666666666667,121,3,2.5,22.4,154,2709.9274999969,3181.2,2024,26.644943333993194,1.1826517211902399,474
664123,"Effross, Scott",3.1,3.3333333333333335,55,2,3.6,22.6,151,1243.3137084227426,3356.9,2024,26.644943333993194,1.1826517211902399,474
673540,"Senga, Kodai",5.1,5.333333333333333,73,2,2.7,22.7,150,1654.8682731781898,2792.6,2024,26.644943333993194,1.1826517211902399,474
702795,"Loutos, Ryan",2.1,2.3333333333333335,35,0,0.0,22.7,150,794.4617885471567,3064.4,2024,26.644943333993194,1.1826517211902399,474
686747,"La Sorsa, Joe",17.2,17.666666666666668,275,7,2.5,22.8,149,6271.071584545811,3194.7,2024,26.644943333993194,1.1826517211902399,474
622766,"Díaz, Miguel",1.0,1.0,10,0,0.0,22.9,148,228.54444184719569,2056.9,2024,26.644943333993194,1.1826517211902399,474
674944,"Guenther, Sean",21.0,21.0,243,9,3.7,22.9,147,5572.550521767453,2388.2,2024,26.644943333993194,1.1826517211902399,474
543391,"Kelly, Casey",5.1,5.333333333333333,78,3,3.8,23.0,147,1791.765240172993,3023.6,2024,26.644943333993194,1.1826517211902399,474
642528,"Loáisiga, Jonathan",4.0,4.0,61,0,0.0,23.0,146,1405.8796284204439,3163.2,2024,26.644943333993194,1.1826517211902399,474
680742,"Bowlan, Jonathan",2.2,2.6666666666666665,68,1,1.5,23.1,145,1572.5581968917797,5307.4,2024,26.644943333993194,1.1826517211902399,474
676428,"Hurter, Brant",45.1,45.333333333333336,645,26,4.0,23.3,143,15000.328979474416,2978.0,2024,26.644943333993194,1.1826517211902399,474
679358,"Orze, Eric",1.2,1.6666666666666665,42,0,0.0,23.3,143,976.8526002617746,5275.0,2024,26.644943333993194,1.1826517211902399,474
543305,"Hicks, Aaron",1.0,1.0,18,0,0.0,23.3,142,419.56650661360715,3776.1,2024,26.644943333993194,1.1826517211902399,474
680572,"Kloffenstein, Adam",1.0,1.0,15,2,13.3,23.6,139,353.2554359180343,3179.3,2024,26.644943333993194,1.1826517211902399,474
676568,"Vanasco, Ricky",4.0,4.0,45,3,6.7,23.8,136,1070.4903908632346,2408.6,2024,26.644943333993194,1.1826517211902399,474
623168,"Heineman, Tyler",1.0,1.0,8,0,0.0,23.8,136,190.58711278062745,1715.3,2024,26.644943333993194,1.1826517211902399,474
676661,"Lazar, Max",13.2,13.666666666666666,214,7,3.3,23.9,135,5118.3256958113625,3370.6,2024,26.644943333993194,1.1826517211902399,474
622268,"Walton, Donovan",1.0,1.0,13,0,0.0,24.0,134,311.74538203393934,2805.7,2024,26.644943333993194,1.1826517211902399,474
608638,"Chargois, JT",36.1,36.333333333333336,530,26,4.9,24.0,134,12715.759390407746,3149.8,2024,26.644943333993194,1.1826517211902399,474
678020,"Halvorsen, Seth",12.1,12.333333333333334,179,12,6.7,23.9,134,4286.079962562182,3127.7,2024,26.644943333993194,1.1826517211902399,474
663542,"Hudson, Bryan",62.1,62.333333333333336,929,44,4.7,24.0,134,22272.465001599045,3215.8,2024,26.644943333993194,1.1826517211902399,474
676614,"Sammons, Bryan",27.1,27.333333333333332,374,22,5.9,23.9,134,8950.075545945205,2947.0,2024,26.644943333993194,1.1826517211902399,474
683618,"Henriquez, Edgardo",3.1,3.3333333333333335,59,3,5.1,24.0,133,1418.0862165270312,3828.8,2024,26.644943333993194,1.1826517211902399,474
680732,"Burke, Sean",19.0,19.0,309,15,4.9,24.1,132,7453.185587751468,3530.5,2024,26.644943333993194,1.1826517211902399,474
642215,"Wilson, Weston",1.0,1.0,8,0,0.0,24.2,131,193.6447751712023,1742.8,2024,26.644943333993194,1.1826517211902399,474
669165,"Hurt, Kyle",6.2,6.666666666666667,58,4,6.9,24.2,131,1401.7072431210167,1892.3,2024,26.644943333993194,1.1826517211902399,474
656457,"Gilbert, Tyler",8.1,8.333333333333334,145,7,4.8,24.2,131,3504.969461444047,3785.4,2024,26.644943333993194,1.1826517211902399,474
656529,"Hentges, Sam",23.2,23.666666666666668,351,21,6.0,24.2,131,8496.505599383212,3231.1,2024,26.644943333993194,1.1826517211902399,474
661403,"Clase, Emmanuel",74.1,74.33333333333333,988,69,7.0,24.2,131,23908.237086636418,2894.7,2024,26.644943333993194,1.1826517211902399,474
700363,"Smith-Shawver, AJ",4.1,4.333333333333333,87,2,2.3,24.2,131,2108.439752937133,4379.1,2024,26.644943333993194,1.1826517211902399,474
622694,"Hernández, Elieser",15.2,15.666666666666666,252,13,5.2,24.2,131,6091.264918795096,3499.2,2024,26.644943333993194,1.1826517211902399,474
681870,"Sabrowski, Erik",12.2,12.666666666666666,198,9,4.5,24.3,130,4805.48598111251,3414.4,2024,26.644943333993194,1.1826517211902399,474
596001,"Junis, Jakob",67.0,67.0,944,57,6.0,24.2,130,22884.98038495918,3074.1,2024,26.644943333993194,1.1826517211902399,474
669302,"Gilbert, Logan",208.2,208.66666666666666,3043,177,5.8,24.2,130,73789.59407755997,3182.6,2024,26.644943333993194,1.1826517211902399,474
500743,"Rojas, Miguel",1.0,1.0,14,0,0.0,24.3,130,339.7142909340035,3057.4,2024,26.644943333993194,1.1826517211902399,474
641927,"Ober, Bailey",178.2,178.66666666666666,2697,169,6.3,24.3,130,65515.44651540604,3300.2,2024,26.644943333993194,1.1826517211902399,474
672391,"Ort, Kaleb",24.2,24.666666666666668,366,24,6.6,24.3,130,8896.636343,3246.1,2024,26.644943333993194,1.1826517211902399,474
681806,"Wantz, Andrew",1.1,1.3333333333333333,35,0,0.0,24.3,129,851.715727270724,5749.1,2024,26.644943333993194,1.1826517211902399,474
693433,"Woo, Bryan",121.1,121.33333333333333,1717,116,6.8,24.3,129,41761.24424938068,3097.7,2024,26.644943333993194,1.1826517211902399,474
689958,"Walters, Andrew",8.2,8.666666666666666,133,8,6.0,24.4,129,3239.170004353106,3363.8,2024,26.644943333993194,1.1826517211902399,474
680885,"Schwellenbach, Spencer",123.2,123.66666666666667,1891,126,6.7,24.5,128,46252.260486969164,3366.1,2024,26.644943333993194,1.1826517211902399,474
669373,"Skubal, Tarik",192.0,192.0,2868,198,6.9,24.5,128,70139.39984075724,3287.8,2024,26.644943333993194,1.1826517211902399,474
642216,"Winans, Allan",7.2,7.666666666666667,147,3,2.0,24.4,128,3587.6574512193397,4211.6,2024,26.644943333993194,1.1826517211902399,474
506433,"Darvish, Yu",81.2,81.66666666666667,1191,68,5.7,24.5,128,29124.683270727204,3209.7,2024,26.644943333993194,1.1826517211902399,474
543475,"Lyles, Jordan",5.0,5.0,72,3,4.2,24.5,128,1760.8920668070093,3169.6,2024,26.644943333993194,1.1826517211902399,474
502171,"Cobb, Alex",16.1,16.333333333333332,242,16,6.6,24.4,128,5908.447250259243,3255.7,2024,26.644943333993194,1.1826517211902399,474
657746,"Ryan, Joe",135.0,135.0,2108,153,7.3,24.5,128,51553.40714434,3436.9,2024,26.644943333993194,1.1826517211902399,474
621107,"Eflin, Zach",165.1,165.33333333333334,2447,153,6.3,24.4,128,59787.84078846338,3254.6,2024,26.644943333993194,1.1826517211902399,474
663989,"Vespi, Nick",12.1,12.333333333333334,169,14,8.3,24.5,127,4140.008725028741,3021.1,2024,26.644943333993194,1.1826517211902399,474
607644,"Means, John",20.2,20.666666666666668,320,23,7.2,24.5,127,7841.198634714607,3414.7,2024,26.644943333993194,1.1826517211902399,474
623451,"Stephens, Jackson",3.1,3.3333333333333335,51,3,5.9,24.5,127,1251.948296335212,3380.3,2024,26.644943333993194,1.1826517211902399,474
700669,"Graceffo, Gordon",7.2,7.666666666666667,105,4,3.8,24.5,127,2571.6928754615515,3018.9,2024,26.644943333993194,1.1826517211902399,474
669456,"Bieber, Shane",12.0,12.0,166,4,2.4,24.6,126,4088.580776833169,3066.4,2024,26.644943333993194,1.1826517211902399,474
641658,"Hampson, Garrett",1.0,1.0,13,0,0.0,24.6,126,319.79318793946896,2878.1,2024,26.644943333993194,1.1826517211902399,474
668676,"Plesac, Zach",12.0,12.0,209,14,6.7,24.6,126,5138.24953052568,3853.7,2024,26.644943333993194,1.1826517211902399,474
700241,"McGreevy, Michael",23.0,23.0,311,17,5.5,24.6,126,7643.234389016116,2990.8,2024,26.644943333993194,1.1826517211902399,474
680891,"Neely, Jack",6.0,6.0,98,7,7.1,24.7,125,2419.495635981264,3629.2,2024,26.644943333993194,1.1826517211902399,474
684007,"Imanaga, Shota",173.1,173.33333333333334,2594,156,6.0,24.7,125,63965.65399685674,3321.3,2024,26.644943333993194,1.1826517211902399,474
455119,"Martin, Chris",44.1,44.333333333333336,659,45,6.8,24.7,125,16253.905945269875,3299.7,2024,26.644943333993194,1.1826517211902399,474
571912,"Maile, Luke",3.2,3.6666666666666665,65,6,9.2,24.7,125,1603.8579032283812,3936.7,2024,26.644943333993194,1.1826517211902399,474
607536,"Freeland, Kyle",113.1,113.33333333333333,1769,113,6.4,24.8,124,43818.70642887404,3479.7,2024,26.644943333993194,1.1826517211902399,474
680570,"Rodriguez, Grayson",116.2,116.66666666666667,1879,102,5.4,24.8,124,46509.586421945,3587.9,2024,26.644943333993194,1.1826517211902399,474
685801,"Bigge, Hunter",17.1,17.333333333333332,300,16,5.3,24.7,124,7421.715885948151,3853.6,2024,26.644943333993194,1.1826517211902399,474
605335,"Leibrandt, Brandon",6.1,6.333333333333333,117,5,4.3,24.7,124,2894.5531239619995,4113.3,2024,26.644943333993194,1.1826517211902399,474
607192,"Glasnow, Tyler",134.0,134.0,1935,129,6.7,24.8,123,48078.87686030723,3229.2,2024,26.644943333993194,1.1826517211902399,474
592351,"Gray, Jon",102.2,102.66666666666667,1635,107,6.5,24.8,123,40570.77652292745,3556.5,2024,26.644943333993194,1.1826517211902399,474
659275,"Lamet, Dinelson",4.1,4.333333333333333,78,3,3.8,24.9,123,1939.5350107395786,4028.3,2024,26.644943333993194,1.1826517211902399,474
623149,"Sewald, Paul",39.2,39.666666666666664,633,43,6.8,24.9,123,15734.460025893748,3570.0,2024,26.644943333993194,1.1826517211902399,474
695243,"Miller, Mason",65.0,65.0,1037,92,8.9,24.8,123,25767.620961778674,3567.8,2024,26.644943333993194,1.1826517211902399,474
605397,"Musgrove, Joe",99.2,99.66666666666667,1522,115,7.6,24.8,123,37800.51667400003,3413.4,2024,26.644943333993194,1.1826517211902399,474
670102,"Francis, Bowden",103.2,103.66666666666667,1561,79,5.1,24.9,123,38808.23943953273,3369.2,2024,26.644943333993194,1.1826517211902399,474
676395,"Garcia, Robert",59.2,59.666666666666664,950,64,6.7,24.8,123,23590.255538759906,3558.3,2024,26.644943333993194,1.1826517211902399,474
674003,"Bradford, Cody",76.1,76.33333333333333,1176,78,6.6,24.8,123,29177.33667053884,3440.1,2024,26.644943333993194,1.1826517211902399,474
554340,"García, Yimi",39.0,39.0,632,53,8.4,24.9,122,15748.89825766539,3634.4,2024,26.644943333993194,1.1826517211902399,474
